Time,FPR
0,0.0
1,0.0
2,0.0
3,0.009900990099009901
4,0.009900990099009901
5,0.0
6,0.0
7,0.02912621359223301
8,0.009900990099009901
9,0.02912621359223301
10,0.0196078431372549
11,0.0196078431372549
12,0.02912621359223301
13,0.0196078431372549
14,0.0196078431372549
15,0.038461538461538464
16,0.05660377358490566
17,0.0
18,0.038461538461538464
19,0.009900990099009901
20,0.0196078431372549
21,0.0196078431372549
22,0.0196078431372549
23,0.02912621359223301
24,0.02912621359223301
25,0.02912621359223301
26,0.0196078431372549
27,0.0196078431372549
28,0.02912621359223301
29,0.0196078431372549
